venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2011,steering,chair,Matthias Christandl,,
QCRYPT,2011,steering,member,Roger Colbeck,,
QCRYPT,2011,steering,member,Michele Mosca,,
QCRYPT,2011,steering,member,Renato Renner,,
QCRYPT,2011,steering,member,Louis Salvail,,
QCRYPT,2011,steering,member,Wolfgang Tittel,,
QCRYPT,2011,steering,member,Stephanie Wehner,,
QCRYPT,2011,program,member,Romain Alléaume,,
QCRYPT,2011,program,member,Aram Harrow,,
QCRYPT,2011,program,member,Hoi-Kwong Lo,,
QCRYPT,2011,program,member,Norbert Lütkenhaus,,
QCRYPT,2011,program,member,Valerio Scarani,,
QCRYPT,2011,program,member,Christian Schaffner,,
QCRYPT,2011,program,chair,Barbara Terhal,,
QCRYPT,2011,program,member,Gregor Weihs,,
QCRYPT,2011,program,member,Jürg Wullschleger,,
QCRYPT,2011,steering,member,Charles H. Bennett,,
QCRYPT,2011,steering,member,Gilles Brassard,,
QCRYPT,2011,steering,member,Ivan Damgaard,,
QCRYPT,2011,steering,member,Artur Ekert,,
QCRYPT,2011,steering,member,Nicolas Gisin,,
QCRYPT,2011,steering,member,Richard Hughes,,
QCRYPT,2011,steering,member,Masahide Sasaki,,
QCRYPT,2011,local_organizing,member,Matthias Christandl,Coordination,
QCRYPT,2011,local_organizing,member,Beatrix Hottiger,Administration,
QCRYPT,2011,local_organizing,member,Lidia del Rio,,
QCRYPT,2011,local_organizing,member,Michael Walter,,
